Epoch:53;steps:530/50000;train_cost:3.5535996198654174;val_cost:3.793475
Epoch:54;steps:540/50000;train_cost:3.578401732444763;val_cost:3.2314434
Epoch:55;steps:550/50000;train_cost:3.5353860378265383;val_cost:3.6860733
Epoch:56;steps:560/50000;train_cost:3.651477003097534;val_cost:3.133698
Epoch:57;steps:570/50000;train_cost:3.6057210683822634;val_cost:3.6336093
Epoch:58;steps:580/50000;train_cost:3.674748945236206;val_cost:3.228063
Epoch:59;steps:590/50000;train_cost:3.4300316095352175;val_cost:3.2570524
Epoch:60;steps:600/50000;train_cost:3.5269932985305785;val_cost:3.143561
len(original_list) 32 len(detected_list) 4  test and detect length desn't match
Epoch:61;steps:610/50000;train_cost:3.315774846076965;val_cost:3.9435554
Epoch:62;steps:620/50000;train_cost:3.4623095750808717;val_cost:3.98718
Epoch:63;steps:630/50000;train_cost:3.5033509731292725;val_cost:3.309638
Epoch:64;steps:640/50000;train_cost:3.492162489891052;val_cost:3.174333
Epoch:65;steps:650/50000;train_cost:3.341099429130554;val_cost:3.0984507
Epoch:66;steps:660/50000;train_cost:3.3187981843948364;val_cost:3.4307551
Epoch:67;steps:670/50000;train_cost:3.3651597261428834;val_cost:3.6806335
Epoch:68;steps:680/50000;train_cost:3.363932418823242;val_cost:2.9435692
Epoch:69;steps:690/50000;train_cost:3.5406652450561524;val_cost:3.1165998
Epoch:70;steps:700/50000;train_cost:3.360893964767456;val_cost:3.2506375
len(original_list) 32 len(detected_list) 5  test and detect length desn't match
Epoch:71;steps:710/50000;train_cost:3.369012379646301;val_cost:2.7651572
Epoch:72;steps:720/50000;train_cost:3.3567440271377564;val_cost:3.7058773
Epoch:73;steps:730/50000;train_cost:3.5224148511886595;val_cost:3.1896803
Epoch:74;steps:740/50000;train_cost:3.3212907791137694;val_cost:3.212818
Epoch:75;steps:750/50000;train_cost:3.3610902547836305;val_cost:3.2731333
Epoch:76;steps:760/50000;train_cost:3.2678807735443116;val_cost:2.9082832
Epoch:77;steps:770/50000;train_cost:3.265890669822693;val_cost:3.388038
Epoch:78;steps:780/50000;train_cost:3.6081004619598387;val_cost:2.9021115
Epoch:79;steps:790/50000;train_cost:3.381564497947693;val_cost:3.4043975
Epoch:80;steps:800/50000;train_cost:3.227515172958374;val_cost:3.138465
len(original_list) 32 len(detected_list) 2  test and detect length desn't match
Epoch:81;steps:810/50000;train_cost:3.2926282405853273;val_cost:3.1011372
Epoch:82;steps:820/50000;train_cost:3.21170814037323;val_cost:2.8962893
Epoch:83;steps:830/50000;train_cost:3.26061327457428;val_cost:3.4246647
Epoch:84;steps:840/50000;train_cost:3.1099262952804567;val_cost:3.3145738
Epoch:85;steps:850/50000;train_cost:3.2720824480056763;val_cost:2.7537665
Epoch:86;steps:860/50000;train_cost:3.356088423728943;val_cost:3.1739292
Epoch:87;steps:870/50000;train_cost:3.22145676612854;val_cost:3.6865716
Epoch:88;steps:880/50000;train_cost:3.247664523124695;val_cost:3.6561122
Epoch:89;steps:890/50000;train_cost:3.2090014934539797;val_cost:3.7298648
Epoch:90;steps:900/50000;train_cost:3.3029631614685058;val_cost:2.5915594
len(original_list) 32 len(detected_list) 9  test and detect length desn't match
Epoch:91;steps:910/50000;train_cost:3.2638656854629517;val_cost:3.2654119
Epoch:92;steps:920/50000;train_cost:3.201315975189209;val_cost:3.340386
Epoch:93;steps:930/50000;train_cost:3.194990873336792;val_cost:3.0930028
Epoch:94;steps:940/50000;train_cost:3.461902046203613;val_cost:3.0395048
Epoch:95;steps:950/50000;train_cost:3.262771463394165;val_cost:3.7367396
Epoch:96;steps:960/50000;train_cost:3.1449926853179933;val_cost:2.943038
Epoch:97;steps:970/50000;train_cost:3.2229363679885865;val_cost:3.6344507
Epoch:98;steps:980/50000;train_cost:3.227584171295166;val_cost:3.4391623
Epoch:99;steps:990/50000;train_cost:3.18925199508667;val_cost:3.4196517
Epoch:100;steps:1000/50000;train_cost:3.0838685274124145;val_cost:3.6999738
len(original_list) 32 len(detected_list) 3  test and detect length desn't match
Epoch:101;steps:1010/50000;train_cost:3.2107423543930054;val_cost:3.0113983
Epoch:102;steps:1020/50000;train_cost:2.9768698453903197;val_cost:3.018377
Epoch:103;steps:1030/50000;train_cost:3.066544604301453;val_cost:3.393519
Epoch:104;steps:1040/50000;train_cost:3.1163750171661375;val_cost:2.9388888
Epoch:105;steps:1050/50000;train_cost:3.3130410432815554;val_cost:3.161459
Epoch:106;steps:1060/50000;train_cost:3.0983142852783203;val_cost:3.1055431
Epoch:107;steps:1070/50000;train_cost:3.2564680099487306;val_cost:3.3599534
Epoch:108;steps:1080/50000;train_cost:3.091720199584961;val_cost:2.6907625
Epoch:109;steps:1090/50000;train_cost:3.1030245065689086;val_cost:3.2609472
Epoch:110;steps:1100/50000;train_cost:3.2690625190734863;val_cost:3.2048802
len(original_list) 32 len(detected_list) 9  test and detect length desn't match
WARNING:tensorflow:From C:\Users\30289\miniconda3\lib\site-packages\tensorflow\python\training\saver.py:971: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
Epoch:111;steps:1110/50000;train_cost:3.1540503978729246;val_cost:2.7205787
Epoch:112;steps:1120/50000;train_cost:3.0745542287826537;val_cost:3.240716
Epoch:113;steps:1130/50000;train_cost:3.2184351682662964;val_cost:3.3784866
Epoch:114;steps:1140/50000;train_cost:3.250771999359131;val_cost:2.6524048
Epoch:115;steps:1150/50000;train_cost:3.0368417739868163;val_cost:2.9606905
Epoch:116;steps:1160/50000;train_cost:3.155569648742676;val_cost:2.9364612
Epoch:117;steps:1170/50000;train_cost:2.9488986253738405;val_cost:2.7078714
Epoch:118;steps:1180/50000;train_cost:3.0944886445999145;val_cost:3.2853246
Epoch:119;steps:1190/50000;train_cost:2.9553180932998657;val_cost:2.658332
Epoch:120;steps:1200/50000;train_cost:3.1569669961929323;val_cost:3.3949513
len(original_list) 32 len(detected_list) 6  test and detect length desn't match
